train_accuracy_step,train_f1score_step,train_labelsmoothingcrossentropy_step,epoch,step,val_accuracy,val_f1score,val_labelsmoothingcrossentropy,train_accuracy_epoch,train_f1score_epoch,train_labelsmoothingcrossentropy_epoch
0.984375,0.9933473467826843,0.20770327746868134,16,2299,,,,,,
0.984375,0.9863945841789246,0.19658911228179932,16,2349,,,,,,
,,,16,2396,0.6445105671882629,0.5892706513404846,1.3430441617965698,,,
,,,16,2396,,,,0.966312050819397,0.973834753036499,0.2622257471084595
0.9375,0.9520751237869263,0.3125491142272949,17,2399,,,,,,
0.953125,0.9211894273757935,0.3329254984855652,17,2449,,,,,,
0.9375,0.8919486403465271,0.31389421224594116,17,2499,,,,,,
,,,17,2537,0.6501322984695435,0.5918765068054199,1.3433303833007812,,,
,,,17,2537,,,,0.9664228558540344,0.9739003777503967,0.26044976711273193
0.96875,0.9830394983291626,0.22192223370075226,18,2549,,,,,,
0.96875,0.9686771631240845,0.22879961133003235,18,2599,,,,,,
0.9375,0.9465811848640442,0.3322559893131256,18,2649,,,,,,
,,,18,2678,0.6617063283920288,0.6073486804962158,1.303511142730713,,,
,,,18,2678,,,,0.9666445255279541,0.9739943146705627,0.2580612003803253
0.953125,0.966240406036377,0.2812524139881134,19,2699,,,,,,
0.984375,0.988916277885437,0.21898335218429565,19,2749,,,,,,
0.96875,0.9577778577804565,0.24011090397834778,19,2799,,,,,,
,,,19,2819,0.6570767164230347,0.6032564043998718,1.3135733604431152,,,
,,,19,2819,,,,0.9662012457847595,0.9736851453781128,0.25848281383514404
0.96875,0.970117449760437,0.2572844922542572,20,2849,,,,,,
0.96875,0.9698083996772766,0.255285382270813,20,2899,,,,,,
0.96875,0.9737637639045715,0.3008089065551758,20,2949,,,,,,
,,,20,2960,0.5830026268959045,0.5299447774887085,1.6086772680282593,,,
,,,20,2960,,,,0.9657579660415649,0.973560094833374,0.2608605623245239
1.0,1.0,0.16607235372066498,21,2999,,,,,,
0.75,0.6782288551330566,0.8420867323875427,21,3049,,,,,,
0.546875,0.41758471727371216,1.4065755605697632,21,3099,,,,,,
